"Localidades";"Períodos";"Óbitos por Causas Externas ";"Taxa de Mortalidade por Causas Externas (Por cem mil habitantes)";"Óbitos por Agressões ";"Taxa de Mortalidade por Agressões (Por cem mil habitantes)";"Óbitos por Acidentes de Transportes ";"Taxa de Mortalidade por Acidentes de Transportes (Por cem mil habitantes)";"Cód. IBGE"
"Adamantina";"2013";"19";"56,14";"-";"-";"5";"14,77";3500105
"Adamantina";"2014";"19";"56,11";"1";"2,95";"7";"20,67";3500105
"Adamantina";"2015";"17";"50,18";"-";"-";"4";"11,81";3500105
"Adamantina";"2016";"23";"67,88";"1";"2,95";"3";"8,85";3500105
"Adamantina";"2017";"18";"53,12";"1";"2,95";"2";"5,9";3500105
"Adolfo";"2013";"2";"56,77";"1";"28,38";"-";"-";3500204
"Adolfo";"2014";"1";"28,47";"1";"28,47";"-";"-";3500204
"Adolfo";"2015";"6";"171,38";"1";"28,56";"1";"28,56";3500204
"Adolfo";"2016";"7";"200,57";"-";"-";"1";"28,65";3500204
"Adolfo";"2017";"4";"114,98";"1";"28,74";"1";"28,74";3500204
"Aguaí";"2013";"19";"57,27";"2";"6,03";"8";"24,11";3500303
"Aguaí";"2014";"28";"83,48";"4";"11,93";"13";"38,76";3500303
"Aguaí";"2015";"29";"85,52";"6";"17,69";"12";"35,39";3500303
"Aguaí";"2016";"15";"43,81";"2";"5,84";"3";"8,76";3500303
"Aguaí";"2017";"22";"63,62";"-";"-";"5";"14,46";3500303
"Águas da Prata";"2013";"4";"52,27";"-";"-";"2";"26,14";3500402
"Águas da Prata";"2014";"5";"65,14";"-";"-";"2";"26,06";3500402
"Águas da Prata";"2015";"1";"12,99";"-";"-";"-";"-";3500402
"Águas da Prata";"2016";"4";"51,81";"-";"-";"1";"12,95";3500402
"Águas da Prata";"2017";"3";"38,76";"1";"12,92";"-";"-";3500402
"Águas de Lindóia";"2013";"20";"113,57";"1";"5,68";"6";"34,07";3500501
"Águas de Lindóia";"2014";"7";"39,48";"1";"5,64";"2";"11,28";3500501
"Águas de Lindóia";"2015";"14";"78,43";"3";"16,81";"5";"28,01";3500501
"Águas de Lindóia";"2016";"9";"50,13";"1";"5,57";"1";"5,57";3500501
"Águas de Lindóia";"2017";"16";"88,6";"1";"5,54";"2";"11,08";3500501
"Águas de Santa Bárbara";"2013";"3";"52,63";"-";"-";"2";"35,09";3500550
"Águas de Santa Bárbara";"2014";"1";"17,44";"-";"-";"-";"-";3500550
"Águas de Santa Bárbara";"2015";"4";"69,34";"1";"17,33";"2";"34,67";3500550
"Águas de Santa Bárbara";"2016";"1";"17,24";"-";"-";"1";"17,24";3500550
"Águas de Santa Bárbara";"2017";"1";"17,14";"-";"-";"-";"-";3500550
"Águas de São Pedro";"2013";"2";"70,57";"-";"-";"-";"-";3500600
"Águas de São Pedro";"2014";"1";"34,72";"-";"-";"-";"-";3500600
"Águas de São Pedro";"2015";"4";"136,61";"-";"-";"2";"68,31";3500600
"Águas de São Pedro";"2016";"4";"134,86";"-";"-";"3";"101,15";3500600
"Águas de São Pedro";"2017";"1";"33,29";"-";"-";"-";"-";3500600
"Agudos";"2013";"12";"34,26";"2";"5,71";"5";"14,28";3500709
"Agudos";"2014";"19";"53,98";"4";"11,36";"3";"8,52";3500709
"Agudos";"2015";"21";"59,37";"2";"5,65";"3";"8,48";3500709
"Agudos";"2016";"19";"53,48";"6";"16,89";"4";"11,26";3500709
"Agudos";"2017";"20";"56,06";"3";"8,41";"6";"16,82";3500709
"Alambari";"2013";"3";"58,28";"-";"-";"2";"38,85";3500758
